CNN Model,Input Type,Target Type,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
unet,full,multiclass,43,1pm,0.9527086019515992,0.8504399657249451,0.9162713289260864,0.8725008964538574,0.8760302066802979,0.7560831904411316,0.9134150147438048,0.9096881747245787,0.7397960424423218,0.8454803824424744,0.7738372683525085,0.779407262802124,0.6078245639801025,0.8406291604042053
unet,full,multiclass,43,2pm,0.9533050656318665,0.8508838415145874,0.9166532158851624,0.8764650225639343,0.8827090263366699,0.7703512907028198,0.9147003293037416,0.910776436328888,0.7404680848121643,0.8461309671401978,0.7800959348678589,0.7900439500808716,0.6264808177947998,0.8428090214729309
unet,full,multiclass,43,3pm,0.936388373374939,0.8135876059532166,0.8698177337646484,0.8582173585891724,0.8969199061393738,0.809901237487793,0.8750753402709961,0.8803856372833252,0.6857544183731079,0.7696260809898376,0.751646876335144,0.8131049871444702,0.6805328130722046,0.7778968214988708
unet,full,multiclass,43,4pm,0.9497762322425842,0.8489376306533813,0.8996996283531189,0.8763391375541687,0.8852092623710632,0.7770673036575317,0.9217738509178162,0.9043560028076172,0.7375253438949585,0.8176854848861694,0.7798964977264404,0.7940586805343628,0.6354129314422607,0.8548983931541443
unet,full,multiclass,43,5pm,0.9497202038764954,0.8489059805870056,0.8883943557739258,0.8104115724563599,0.8317785859107971,0.7060667872428894,0.9152504205703736,0.9042544960975648,0.7374775409698486,0.7991992235183716,0.6812537908554077,0.7120042443275452,0.5456748604774475,0.8437434434890747
unet,full,multiclass,43,6pm,0.939070165157318,0.8176732659339905,0.8763570785522461,0.8009775280952454,0.8075912594795227,0.6452109217643738,0.8881114721298218,0.885138750076294,0.6915798187255859,0.7799249291419983,0.6680254936218262,0.6772772073745728,0.476244568824768,0.7987414002418518
unet,full,multiclass,43,7pm,0.9392764568328856,0.8094750642776489,0.8803945183753967,0.8047861456871033,0.8035575151443481,0.6811972260475159,0.8765560388565063,0.8855053782463074,0.6799312233924866,0.786343514919281,0.6733407378196716,0.6716223955154419,0.516526997089386,0.7802400588989258
unet,full,multiclass,43,8pm,0.9377275705337524,0.8073612451553345,0.880703866481781,0.800101637840271,0.8061821460723877,0.6740676164627075,0.8761719465255737,0.8827561736106873,0.6769536733627319,0.7868372201919556,0.6668078899383545,0.6752974390983582,0.5083725452423096,0.7796316146850586
unet,full,multiclass,44,8am,0.9221714735031128,0.7876362800598145,0.801572859287262,0.6974527835845947,0.7554516196250916,0.6468769907951355,0.8968467712402344,0.8555827140808105,0.6496699452400208,0.6688539981842041,0.5354529619216919,0.6070086359977722,0.478062242269516,0.8129847645759583
unet,full,multiclass,44,9am,0.9429212808609008,0.814961850643158,0.8367114067077637,0.7426177263259888,0.778883159160614,0.6557750105857849,0.8711288571357727,0.8920066952705383,0.687709391117096,0.7192637920379639,0.5906062126159668,0.6378449201583862,0.487846165895462,0.7716813683509827
