CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
unet,rois,multiclass,1,9,3pm,0.9663114547729492,0.8861953020095825,0.8323777914047241,0.4351271688938141,0.2563876211643219,0.2088842689990997,0.2096375077962875,0.9348188042640686,0.7956469058990479,0.7128828167915344,0.2780591249465942,0.1470439285039901,0.1166224256157875,0.1170922070741653
unet,rois,multiclass,1,9,4pm,0.9096565246582032,0.7545284628868103,0.8045468330383301,0.3862649500370025,0.2640791237354278,0.194553717970848,0.1926163733005523,0.8342844247817993,0.6058174967765808,0.6730057001113892,0.2393608093261718,0.1521262526512146,0.1077593490481376,0.1065719351172447
unet,rois,multiclass,1,9,5pm,0.9624813795089722,0.8722934126853943,0.803297758102417,0.4354237914085388,0.2477016896009445,0.1899032592773437,0.2003060281276703,0.927676260471344,0.7735109925270081,0.6712595224380493,0.2783014178276062,0.1413581669330597,0.1049133166670799,0.1113000437617302
unet,rois,multiclass,1,9,6pm,0.9651764035224916,0.8818159103393555,0.7512871026992798,0.3760622441768646,0.2735316455364227,0.2055446654558181,0.2041973918676376,0.9326965808868408,0.7886142134666443,0.6016492247581482,0.2315742820501327,0.158434197306633,0.1145443171262741,0.1137081459164619
unet,rois,multiclass,1,9,7pm,0.9584990739822388,0.8665359020233154,0.5598154664039612,0.3131868541240692,0.3732616007328033,0.353907436132431,0.3047619163990021,0.9203054904937744,0.7645023465156555,0.3887109458446502,0.1856677830219268,0.2294539809226989,0.2149985134601593,0.1797752827405929
unet,rois,multiclass,1,9,8pm,0.963561475276947,0.8772578239440918,0.7181892991065979,0.3056025803089142,0.2344287186861038,0.2568251192569732,0.2517042458057403,0.929685115814209,0.7813528180122375,0.5602928400039673,0.1803606152534485,0.1327778249979019,0.1473318189382553,0.1439712047576904
unet,rois,multiclass,1,10,8am,0.9630566835403442,0.8732994794845581,0.8425687551498413,0.4872850775718689,0.3169566988945007,0.4461822211742401,0.4143408834934234,0.9287457466125488,0.7750946283340454,0.727964460849762,0.322126179933548,0.1883235573768615,0.2871522307395935,0.2613051533699035
unet,rois,multiclass,1,10,9am,0.9666728377342224,0.8857709765434265,0.8080662488937378,0.4828173518180847,0.3614173233509063,0.5168843269348145,0.4890754818916321,0.935495376586914,0.7949631214141846,0.677945613861084,0.3182328641414642,0.2205670326948166,0.3485124707221985,0.3236928582191467
unet,rois,multiclass,1,10,11am,0.964422345161438,0.8787757158279419,0.8561407923698425,0.5314780473709106,0.3484739959239959,0.4294594526290893,0.3842112421989441,0.9312891960144044,0.7837644219398499,0.7484669089317322,0.3619135916233063,0.2110012173652649,0.2734469175338745,0.2377855628728866
unet,rois,multiclass,1,10,12pm,0.9670929312705994,0.8866471648216248,0.8429599404335022,0.4942373931407928,0.324025958776474,0.4033707678318023,0.36263108253479,0.9362825751304626,0.7963756918907166,0.7285486459732056,0.328230619430542,0.1933359056711197,0.252638965845108,0.2214718163013458
unet,rois,multiclass,1,10,1pm,0.9666038751602172,0.8854650259017944,0.8523392677307129,0.4708567261695862,0.276797890663147,0.4092284440994262,0.382168173789978,0.9353662729263306,0.7944704294204712,0.7426753044128418,0.3079219162464142,0.1606299728155136,0.2572515606880188,0.236222431063652
unet,rois,multiclass,1,10,2pm,0.9622741937637328,0.8744944334030151,0.8560782074928284,0.4618675708770752,0.2868380844593048,0.3727391064167022,0.353545993566513,0.9272913336753844,0.7769792079925537,0.7483713030815125,0.3002781569957733,0.1674319803714752,0.2290592044591903,0.2147317677736282
unet,rois,multiclass,1,10,3pm,0.9665756821632384,0.8870340585708618,0.8655740022659302,0.4668416678905487,0.279666930437088,0.3529801070690155,0.3406816124916076,0.9353134632110596,0.7970001697540283,0.7630062103271484,0.304496705532074,0.1625655740499496,0.2143144160509109,0.2053141891956329
unet,rois,multiclass,1,10,4pm,0.9565904140472412,0.8605188727378845,0.8663051724433899,0.4816553890705108,0.2829831838607788,0.3479918241500854,0.3363673686981201,0.9167928695678712,0.7551848888397217,0.7641432285308838,0.3172240257263183,0.1648109406232834,0.2106477618217468,0.202188491821289
unet,rois,multiclass,1,10,5pm,0.9668187499046326,0.8878868818283081,0.8469196557998657,0.4244811832904815,0.2609846591949463,0.355590671300888,0.3451807200908661,0.935768723487854,0.7983781695365906,0.7344844937324524,0.269423097372055,0.1500761061906814,0.2162421941757202,0.2085911929607391
unet,rois,multiclass,1,10,6pm,0.9679720401763916,0.8911150097846985,0.8238186836242676,0.4342850148677826,0.296419084072113,0.4069409966468811,0.3801948726177215,0.937932014465332,0.8036136031150818,0.7004181146621704,0.2773716747760772,0.1739976555109024,0.2554462850093841,0.2347164303064346
unet,rois,multiclass,1,10,7pm,0.9702158570289612,0.8964716792106628,0.7860209345817566,0.4120518863201141,0.3322636485099792,0.4632658958435058,0.4208287596702575,0.942154586315155,0.8123685717582703,0.6474748849868774,0.259486973285675,0.1992303282022476,0.3014613389968872,0.2664870917797088
unet,rois,multiclass,1,10,8pm,0.9679986834526062,0.8906617760658264,0.8327317237854004,0.4238313734531402,0.2577223181724548,0.35878786444664,0.3482272922992706,0.9379820227622986,0.8028766512870789,0.7134021520614624,0.2688997387886047,0.1479226499795913,0.2186115235090255,0.2108203470706939
unet,rois,multiclass,1,11,8am,0.9636807441711426,0.8771902322769165,0.8390002250671387,0.4742650687694549,0.3071115911006927,0.42765673995018,0.6106186509132385,0.929907202720642,0.7812456488609314,0.7226532101631165,0.310843676328659,0.181412786245346,0.2719868719577789,0.4394895732402801
unet,rois,multiclass,1,11,9am,0.963135540485382,0.8762170076370239,0.8208505511283875,0.4521465003490448,0.2949762642383575,0.4169425666332245,0.6048839092254639,0.9288924336433412,0.7797029614448547,0.6961378455162048,0.2921119630336761,0.1730041950941085,0.2633780539035797,0.4335724413394928
unet,rois,multiclass,1,11,10am,0.9628777503967284,0.8756833672523499,0.8083692789077759,0.4381604790687561,0.3199034631252289,0.4602586925029754,0.6363937258720398,0.928412914276123,0.7788583636283875,0.678372323513031,0.2805413007736206,0.190407782793045,0.2989194989204407,0.4666990637779236
unet,rois,multiclass,1,11,11am,0.9632261395454408,0.8756647109985352,0.7916926741600037,0.4266176521778106,0.3102217614650726,0.4435925483703613,0.6233581304550171,0.929060995578766,0.7788288593292236,0.6552080512046814,0.2711468338966369,0.1835872530937194,0.2850105464458465,0.452810674905777
unet,rois,multiclass,1,11,12pm,0.9642173647880554,0.879051923751831,0.8152457475662231,0.4296231567859649,0.293120801448822,0.4219066500663757,0.6051262617111206,0.9309070706367492,0.7842039465904236,0.688113808631897,0.2735796570777893,0.1717290729284286,0.2673521339893341,0.4338215589523315
unet,rois,multiclass,1,11,1pm,0.965960681438446,0.884822428226471,0.7963582873344421,0.3860805928707123,0.2693400979042053,0.429346889257431,0.6208535432815552,0.9341623783111572,0.7934364080429077,0.6616240739822388,0.2392192482948303,0.1556285619735717,0.273355633020401,0.4501723051071167
unet,rois,multiclass,1,11,2pm,0.9637206196784972,0.8788769841194153,0.8292534947395325,0.4362759590148926,0.3072572350502014,0.4240796267986297,0.6061026453971863,0.9299814701080322,0.7839255332946777,0.7083117961883545,0.2789980471134186,0.1815144270658493,0.2690996527671814,0.4348258674144745
unet,rois,multiclass,1,11,3pm,0.9655597805976868,0.8835229873657227,0.8189724683761597,0.412722110748291,0.2739397585391998,0.4193387329578399,0.6113766431808472,0.933412790298462,0.7913489937782288,0.6934406161308289,0.2600187957286834,0.1587081104516983,0.2652932107448578,0.4402753710746765
unet,rois,multiclass,1,11,4pm,0.963399052619934,0.8771374821662903,0.8304229378700256,0.45423424243927,0.3160070478916168,0.4198078215122223,0.6011698246002197,0.9293827414512634,0.781161904335022,0.7100198268890381,0.2938570976257324,0.1876534223556518,0.2656688392162323,0.4297661185264587
unet,rois,multiclass,1,11,5pm,0.963477373123169,0.8768536448478699,0.8208861351013184,0.4535360634326935,0.2996309399604797,0.4187048673629761,0.604645311832428,0.9295285940170288,0.7807117700576782,0.6961890459060669,0.2932729721069336,0.1762152463197708,0.264786034822464,0.4333273470401764
unet,rois,multiclass,1,11,6pm,0.9632650017738342,0.8768290877342224,0.8224127888679504,0.4295096695423126,0.3017047345638275,0.4099042117595672,0.5946448445320129,0.9291333556175232,0.7806729078292847,0.6983879804611206,0.2734876275062561,0.1776515245437622,0.2577858567237854,0.4231278002262115
unet,rois,multiclass,1,11,7pm,0.9628190398216248,0.8745942115783691,0.6999693512916565,0.4109766185283661,0.4452790915966034,0.5874075889587402,0.7234440445899963,0.9283037781715392,0.7771367430686951,0.5384252667427063,0.2586347162723541,0.2864045202732086,0.4158365726470947,0.5667154788970947
unet,rois,multiclass,1,11,8pm,0.9587141871452332,0.8653674721717834,0.7014093399047852,0.3043350279331207,0.2677973806858063,0.4347966611385345,0.6227448582649231,0.9207022190093994,0.762685239315033,0.5401312112808228,0.1794782727956771,0.1545993387699127,0.2777892351150512,0.4521637558937073
