CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
cgnet,rois,multiclass,1,7,8pm,0.7635887265205383,0.5399975776672363,0.5485881567001343,0.8529773950576782,0.0,1.0,1.0,0.617584764957428,0.3698607385158539,0.3779686391353607,0.7436448335647583,0.0,1.0,1.0
cgnet,rois,multiclass,1,8,8am,0.7608113884925842,0.5402796268463135,0.6618373394012451,0.7107374668121338,0.7394958138465881,0.0,1.0,0.6139593124389648,0.3701254427433014,0.4945866167545318,0.5512744784355164,0.5866666436195374,0.0,1.0
cgnet,rois,multiclass,1,8,9am,0.7823682427406311,0.5589669942855835,0.6579074263572693,0.7030260562896729,0.7887617349624634,0.0,1.0,0.6425327062606812,0.3878932297229767,0.4902101457118988,0.5420510172843933,0.6512027382850647,0.0,1.0
cgnet,rois,multiclass,1,8,10am,0.7794825434684753,0.557830810546875,0.6844114065170288,0.7530364394187927,0.7724068760871887,0.0,1.0,0.6386492252349854,0.3867998421192169,0.520232081413269,0.6038960814476013,0.629204273223877,0.0,1.0
cgnet,rois,multiclass,1,8,11am,0.7656014561653137,0.5455893874168396,0.6647434234619141,0.794028639793396,0.8344226479530334,0.0,1.0,0.620222270488739,0.3751274943351745,0.497839480638504,0.6584141850471497,0.7158878445625305,0.0,1.0
cgnet,rois,multiclass,1,8,12pm,0.757078230381012,0.5374593138694763,0.6414387822151184,0.784156858921051,0.826839804649353,0.0,1.0,0.6091117858886719,0.3674833178520202,0.472145676612854,0.6449490189552307,0.7047970294952393,0.0,1.0
cgnet,rois,multiclass,1,8,1pm,0.7547332048416138,0.535698413848877,0.648874044418335,0.7679290771484375,0.7961985468864441,1.0,1.0,0.6060815453529358,0.3658388555049896,0.480246901512146,0.6232832074165344,0.6614035367965698,1.0,1.0
cgnet,rois,multiclass,1,8,2pm,0.7445315718650818,0.5283827781677246,0.6661601066589355,0.7683500051498413,0.7950438857078552,0.0,1.0,0.5930308699607849,0.3590490520000458,0.4994303584098816,0.6238380074501038,0.6598114967346191,0.0,1.0
cgnet,rois,multiclass,1,8,3pm,0.7404313087463379,0.5237002372741699,0.5776968598365784,0.7001315951347351,0.5419172048568726,0.0,1.0,0.5878451466560364,0.3547383844852447,0.406169980764389,0.5386173129081726,0.3716642260551452,0.0,1.0
cgnet,rois,multiclass,1,8,5pm,0.7743881940841675,0.5491860508918762,0.6001424789428711,0.7543575167655945,0.7808433175086975,1.0,1.0,0.6318380832672119,0.3785365223884582,0.4287168383598327,0.6055971384048462,0.640478253364563,1.0,1.0
cgnet,rois,multiclass,1,8,6pm,0.7827761173248291,0.5571085810661316,0.6041821241378784,0.8127947449684143,0.8429937958717346,1.0,1.0,0.6430830955505371,0.3861056864261627,0.4328517019748688,0.6846286654472351,0.7285992503166199,1.0,1.0
